Release 6.1.02i - Par G.25a
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Dec 09 22:38:12 2003


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       ctrl4cpu_map.ncd
OUTPUT FILE:      ctrl4cpu_pad.csv
PART TYPE:        xc2s30
SPEED GRADE:      -5
PACKAGE:          cs144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
A1,,,GND,,,,,,,,,,
A2,,,VCCO,,,0,,,,,3.30,,
A3,,IOB,,UNUSED,,0,,,,,,,
A4,,IOB,,UNUSED,,0,,,,,,,
A5,,IOB,,UNUSED,,0,,,,,,,
A6,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
D8,,IOB,,UNUSED,,(0,1)***,,,,,,,
D9,,IOB,,UNUSED,,(0,1)***,,,,,,,
D10,,IOB,IO_CS,UNUSED,,(0,1)***,,,,,,,
D11,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
D12,,IOB,,UNUSED,,(1,2)***,,,,,,,
D13,,IOB,,UNUSED,,(1,2)***,,,,,,,
E1,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
E2,,IOB,,UNUSED,,(3,7)***,,,,,,,
E3,,IOB,,UNUSED,,(3,7)***,,,,,,,
E4,,,GND,,,,,,,,,,
E10,,IOB,IO_D1,UNUSED,,(1,2)***,,,,,,,
E11,,,GND,,,,,,,,,,
E12,,IOB,IO_D2,UNUSED,,(1,2)***,,,,,,,
E13,,IOB,,UNUSED,,(1,2)***,,,,,,,
F1,,,GND,,,,,,,,,,
F2,,PCIIOB,IO_IRDY,UNUSED,,(3,7)***,,,,,,,
F3,,IOB,,UNUSED,,(3,7)***,,,,,,,
F4,,IOB,,UNUSED,,(3,7)***,,,,,,,
F10,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
F11,RAM_DATA_OUT<3>,IOB,IO_D3,INPUT,LVTTL,(1,2)***,,,,NONE,,,
F12,,IOB,,UNUSED,,(1,2)***,,,,,,,
F13,,PCIIOB,IO_IRDY,UNUSED,,(1,2)***,,,,,,,
G1,,PCIIOB,IO_TRDY,UNUSED,,(3,6)***,,,,,,,
G2,,,VCCO,,,3,,,,,3.30,,
G3,,,VCCINT,,,,,,,,2.5,,
G4,,IOB,,UNUSED,,(3,6)***,,,,,,,
G10,,,GND,,,,,,,,,,
G11,,,VCCO,,,1,,,,,na,,
G12,,,VCCINT,,,,,,,,2.5,,
G13,,PCIIOB,IO_TRDY,UNUSED,,(1,3)***,,,,,,,
H1,,IOB,,UNUSED,,(3,6)***,,,,,,,
H2,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
H3,,IOB,,UNUSED,,(3,6)***,,,,,,,
H4,CPU_ADDR_OUT<3>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,,
H10,,IOB,,UNUSED,,(1,3)***,,,,,,,
H11,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
H12,,IOB,IO_D4,UNUSED,,(1,3)***,,,,,,,
H13,,IOB,,UNUSED,,(1,3)***,,,,,,,
J1,,,GND,,,,,,,,,,
J2,CPU_ADDR_OUT<4>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,,
J3,nWE_CPU,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,,
J4,nCS_PWM,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
J10,,IOB,,UNUSED,,(1,3)***,,,,,,,
J11,,IOB,IO_D6,UNUSED,,(1,3)***,,,,,,,
J12,,,GND,,,,,,,,,,
J13,CPU_DATA_IN<3>,IOB,IO_D5,OUTPUT,LVTTL,(1,3)***,12,SLOW,NONE**,,,,
K1,CPU_ADDR_OUT<0>,IOB,IO_VREF_6,INPUT,LVTTL,(3,6)***,,,,NONE,,,
K2,CPU_ADDR_OUT<1>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,,
K3,CPU_ADDR_OUT<2>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,,
K4,nreset,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,,
K5,PWM_DATA_OUT<4>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
K6,CPU_DATA_OUT<0>,IOB,,INPUT,LVTTL,(2,5)***,,,,IFD,,,
K7,,GCLKIOB,GCK0,UNUSED,,(2,4)***,,,,,,,
K8,PWM_DATA_OUT<1>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
K9,PWM_DATA_OUT<5>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
K10,RAM_DATA_OUT<2>,IOB,IO_D7,INPUT,LVTTL,(1,3)***,,,,NONE,,,
K11,CTRL_DATA_IN<2>,IOB,,INPUT,LVTTL,(1,3)***,,,,NONE,,,
K12,CTRL_DATA_IN<3>,IOB,IO_VREF_3,INPUT,LVTTL,(1,3)***,,,,NONE,,,
K13,CPU_DATA_IN<2>,IOB,,OUTPUT,LVTTL,(1,3)***,12,SLOW,NONE**,,,,
L1,CTRL_DATA_OUT<3>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
L2,,,M1,,,,,,,,,,
L3,,,GND,,,,,,,,,,
L4,CTRL_DATA_OUT<0>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
L5,,,GND,,,,,,,,,,
L6,CPU_DATA_OUT<2>,IOB,IO_VREF_5,INPUT,LVTTL,(2,5)***,,,,IFD,,,
L7,,,GND,,,,,,,,,,
L8,PWM_DATA_OUT<3>,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
L9,,,GND,,,,,,,,,,
L10,RAM_DATA_OUT<0>,IOB,IO_VREF_4,INPUT,LVTTL,(2,4)***,,,,NONE,,,
L11,CTRL_DATA_IN<0>,IOB,,INPUT,LVTTL,(2,4)***,,,,NONE,,,
L12,,,PROGRAM,,,,,,,,,,
L13,CTRL_DATA_IN<1>,IOB,IO_INIT,INPUT,LVTTL,(1,3)***,,,,NONE,,,
M1,,,M0,,,,,,,,,,
M2,,,VCCO,,,3,,,,,3.30,,
M4,PWM_DATA_OUT<6>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
M5,,,VCCINT,,,,,,,,2.5,,
M6,CTRL_DATA_OUT<2>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
M7,clk,GCLKIOB,GCK1,INPUT,LVTTL,(2,5)***,,,,,,,
M8,PWM_DATA_OUT<0>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
M9,,,VCCINT,,,,,,,,2.5,,
M10,RAM_DATA_OUT<1>,IOB,,INPUT,LVTTL,(2,4)***,,,,NONE,,,
M11,CPU_DATA_IN<1>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
M12,,,DONE,,,,,,,,,,
M13,,,VCCO,,,1,,,,,na,,
N1,,,VCCO,,,2,,,,,na,,
N2,,,M2,,,,,,,,,,
N4,PWM_DATA_OUT<7>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
N5,PWM_DATA_OUT<2>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
N6,,,VCCINT,,,,,,,,2.5,,
N7,,,VCCO,,,2,,,,,na,,
N8,CPU_DATA_OUT<3>,IOB,,INPUT,LVTTL,(2,4)***,,,,IFD,,,
N9,CPU_DATA_OUT<1>,IOB,,INPUT,LVTTL,(2,4)***,,,,IFD,,,
N10,CTRL_DATA_OUT<1>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
N11,CPU_DATA_IN<0>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
N12,,,GND,,,,,,,,,,
N13,,,VCCO,,,2,,,,,na,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.
*** In some smaller packages, the VCCO bank number of a pin may trail
     the VREF bank number (VCCO,VREF).

